Antibiotic_family	Genefam	Gene	Hit
Oxazolidinone, Amphenicol, Lincosamide, Streptogramin A, Pleuromutilin	cfr(C)	cfr(C)	cfr(C)_1_KX686749 
Oxazolidinone, Amphenicol, Lincosamide, Streptogramin A, Pleuromutilin	cfr(C)	cfr(C)	cfr(C)_2_CANB01000378 
Amphenicol	Cfr(D)	Cfr(D)	Cfr(D)_1_NG_067192
Amphenicol	cfr(E)	cfr(E)	Cfr(E)_1_NG_070225
Beta-lactam	cfxA	cfxA	cfxA_1_U38243
Beta-lactam	cfxA	cfxA2	cfxA2_1_AF504914
Beta-lactam	cfxA	cfxA3	cfxA3_1_AF472622
Beta-lactam	cfxA	cfxA4	cfxA4_1_AY769933
Beta-lactam	cfxA	cfxA5	cfxA5_1_AY769934
Beta-lactam	cfxA6	cfxA6	cfxA6_1_GQ342996
Amphenicol	cml	cml	cml_1_M22614 
Amphenicol	cmlA1	cmlA1	cmlA1_1_M64556 
Amphenicol	cmlA1	cmlA1	cmlA1_2_AB212941 
Amphenicol	cmlB1	cmlB1	cmlB1_1_AM296481 
Amphenicol	cmlV	cmlV	cmlV_1_U09991 
Macrolide, Tetracycline	cmr	cmr	cmr_1_U43535
Amphenicol	cmrA	cmrA	cmrA_1_Z12001 
Amphenicol	cmx	cmx	cmx_1_U85507 
Beta-lactam	cphA like	cphA1	cphA1_1_AY261379
Beta-lactam	cphA like	cphA1	cphA1_2_AY261377
Beta-lactam	cphA like	cphA1	cphA1_3_AY261378
Beta-lactam	cphA like	cphA1	cphA1_4_AY261376
Beta-lactam	cphA like	cphA1	cphA1_7_X57102
Beta-lactam	cphA like	cphA2	cphA2_6_AHU60294
Beta-lactam	cphA like	cphA4	cphA4_1_AY227050
Beta-lactam	cphA like	cphA5	cphA5_1_AY227051
Beta-lactam	cphA like	cphA6	cphA6_1_AY227052
Beta-lactam	cphA like	cphA7	cphA7_1_AY227053
Beta-lactam	cphA like	cphA8	cphA8_1_AY261375
Quinolone	crpP	crpP	crpP_1_HM560971
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_1_FJ591049
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_10_AF203818
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_11_AJ419168
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_12_AY141977
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_13_DQ018382
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_14_AB199789
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_15_FM207631
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_16_FJ001872
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_17_FJ489928
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_2_HM055363
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_3_GU726913
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_4_AB188271
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_5_EU089668
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_6_FJ215857
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_7_AJ400733
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_8_X00926
Folate pathway antagonist	dfrA1	dfrA1	dfrA1_9_AJ238350
Folate pathway antagonist	dfrA10	dfrA10	dfrA10_1_L06418
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_1_FJ763641
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_10_FM877486
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_2_KJ546436
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_3_KJ568502
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_4_EU650399
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_5_FR875302
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_6_AY551331
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_7_AB196348
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_8_AM040708
Folate pathway antagonist	dfrA12	dfrA12	dfrA12_9_DQ995286
Folate pathway antagonist	dfrA13 like	dfrA13	dfrA13_1_Z50802
Folate pathway antagonist	dfrA14	dfrA14	dfrA14_1_KF921535
Folate pathway antagonist	dfrA14	dfrA14	dfrA14_2_Z50805
Folate pathway antagonist	dfrA14	dfrA14	dfrA14_3_Z50804
Folate pathway antagonist	dfrA14	dfrA14	dfrA14_4_AF393510
Folate pathway antagonist	dfrA14	dfrA14	dfrA14_5_DQ388123
Folate pathway antagonist	dfrA15	dfrA15	dfrA15_1_AF156486
Folate pathway antagonist	dfrA15	dfrA15	dfrA15_2_AF221900
Folate pathway antagonist	dfrA15	dfrA15	dfrA15_3_DQ647028
Folate pathway antagonist	dfrA15	dfrA15	dfrA15_4_AJ867237
Folate pathway antagonist	dfrA16	dfrA16	dfrA16_1_AF077008
Folate pathway antagonist	dfrA16	dfrA16	dfrA16_2_AF174129
Folate pathway antagonist	dfrA16	dfrA16	dfrA16_3_AY878718
Folate pathway antagonist	dfrA16	dfrA16	dfrA16_4_EU158182
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_1_FJ460238
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_10_AM937244
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_11_JN645876
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_2_JN645879
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_3_JQ414038
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_4_JQ837988
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_5_GU358475
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_6_AF180469
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_7_AB196349
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_8_AM932673
Folate pathway antagonist	dfrA7/17	dfrA17	dfrA17_9_FJ807902
Folate pathway antagonist	dfrA18	dfrA18	dfrA18_1_AY034138
Folate pathway antagonist	dfrA19	dfrA19	dfrA19_1_AJ310778
Folate pathway antagonist	dfrA19	dfrA19	dfrA19_2_EU855687
Folate pathway antagonist	dfrA20	dfrA20	dfrA20_1_AJ605332
Folate pathway antagonist	dfrA13 like	dfrA21	dfrA21_1_AY552589
Folate pathway antagonist	dfrA13 like	dfrA22	dfrA22_1_KC200566
Folate pathway antagonist	dfrA13 like	dfrA22	dfrA22_2_KF525301
Folate pathway antagonist	dfrA13 like	dfrA22	dfrA22_3_FM957884
Folate pathway antagonist	dfrA13 like	dfrA22	dfrA22_4_AJ628423
Folate pathway antagonist	dfrA13 like	dfrA22	dfrA22_5_AJ968952
Folate pathway antagonist	dfrA23	dfrA23	dfrA23_1_AJ746361
Folate pathway antagonist	dfrA24	dfrA24	dfrA24_1_AJ972619
Folate pathway antagonist	dfrA25	dfrA25	dfrA25_1_DQ267940
Folate pathway antagonist	dfrA26	dfrA26	dfrA26_1_AM403715
Folate pathway antagonist	dfrA27/28	dfrA27	dfrA27_1_FJ459817
Folate pathway antagonist	dfrA27/28	dfrA28	dfrA28_2_FM877476
Folate pathway antagonist	dfrA29	dfrA29	dfrA29_1_AM237806
Folate pathway antagonist	dfrA3	dfrA3	dfrA3_1_J03306
Folate pathway antagonist	dfrA5 like	dfrA30	dfrA30_1_AM997279
Folate pathway antagonist	dfrA6 like	dfrA31	dfrA31_1_AB200915
Folate pathway antagonist	dfrA32	dfrA32	dfrA32_1_GU067642
Folate pathway antagonist	dfrA34	dfrA34	dfrA34_1_JYRF01000065
Folate pathway antagonist	dfrA35	dfrA35	dfrA35_1_CP024557
Folate pathway antagonist	dfrA36	dfrA36	dfrA36_1_CP038791
Folate pathway antagonist	dfrA5 like	dfrA5	dfrA5_1_X12868
Folate pathway antagonist	dfrA5 like	dfrA5	dfrA5_2_FJ001870
Folate pathway antagonist	dfrA5 like	dfrA5	dfrA5_3_KF030794
Folate pathway antagonist	dfrA5 like	dfrA5	dfrA5_4_AY139589
Folate pathway antagonist	dfrA6 like	dfrA6	dfrA6_1_Z86002
Folate pathway antagonist	dfrA6 like	dfrA6	dfrA6_2_FJ905898
Folate pathway antagonist	dfrA7/17	dfrA7	dfrA7_1_AB161450
Folate pathway antagonist	dfrA7/17	dfrA7	dfrA7_2_AJ884724
Folate pathway antagonist	dfrA7/17	dfrA7	dfrA7_3_EU339235
Folate pathway antagonist	dfrA7/17	dfrA7	dfrA7_4_FN563072
Folate pathway antagonist	dfrA7/17	dfrA7	dfrA7_5_AJ419170
Folate pathway antagonist	dfrA8	dfrA8	dfrA8_1_U10186
Folate pathway antagonist	dfrA9	dfrA9	dfrA9_1_X57730
Folate pathway antagonist	dfrB1 like	dfrB1	dfrB1_1_U36276
Folate pathway antagonist	dfrB1 like	dfrB1	dfrB1_2_AM993098
Folate pathway antagonist	dfrB2	dfrB2	dfrB2_1_J01773
Folate pathway antagonist	dfrB2	dfrB2	dfrB2_2_AY553333
Folate pathway antagonist	dfrB3	dfrB3	dfrB3_1_X72585
Folate pathway antagonist	dfrB3	dfrB3	dfrB3_2_FM877478
Folate pathway antagonist	dfrB4	dfrB4	dfrB4_1_AJ429132
Folate pathway antagonist	dfrB4	dfrB4	dfrB4_2_EU339233
Folate pathway antagonist	dfrB4	dfrB4	dfrB4_3_HQ317921
Folate pathway antagonist	dfrB1 like	dfrB5	dfrB5_1_AY943084
Folate pathway antagonist	dfrB1 like	dfrB6	dfrB6_1_DQ274503
Folate pathway antagonist	dfrB7	dfrB7	dfrB7_1_DQ993182
Folate pathway antagonist	dfrB1 like	dfrB8	dfrB8_1_GU295656
Folate pathway antagonist	dfrD	dfrD	dfrD_1_Z50141
Folate pathway antagonist	dfrE	dfrE	dfrE_1_CP080326
Folate pathway antagonist	dfrG	dfrG	dfrG_1_AB205645
Folate pathway antagonist	dfrK	dfrK	dfrK_1_FN377602
Folate pathway antagonist	dfrK	dfrK	dfrK_2_FN677369
Folate pathway antagonist	dfrK	dfrK	dfrK_3_FN812951
Glycopeptide	dldHA2X	dldHA2X	dldHA2X_1_AL939117
Macrolide	ere(A)	ere(A)	ere(A)_1_AY183453
Macrolide	ere(A)	ere(A)	ere(A)_2_AF099140
Macrolide	ere(A)	ere(A)	ere(A)_3_AF326209
Macrolide	ere(A)	ere(A)	ere(A)_4_AF512546
Macrolide	ere(A)	ere(A)	ere(A)_5_FN396877
Macrolide	ere(A)	ere(A)	ere(A)_6_DQ157752
Macrolide	ere(B)	ere(B)	ere(B)_1_A15097
Macrolide	ere(B)	ere(B)	ere(B)_2_X03988
Macrolide	ere(D)	ere(D)	ere(D)_1_KP265721
Macrolide, Lincosamide, Streptogramin B	erm(30)	erm(30)	erm(30)_1_AF079138
Macrolide, Lincosamide, Streptogramin B	erm(31)	erm(31)	erm(31)_1_AF079138
Macrolide, Lincosamide, Streptogramin B	erm(32)	erm(32)	erm(32)_1_AJ009971
Macrolide, Lincosamide, Streptogramin B	erm(33)	erm(33)	erm(33)_1_AJ579365
Macrolide, Lincosamide, Streptogramin B	erm(34)	erm(34)	erm(34)_1_AY234334
Macrolide, Lincosamide, Streptogramin B	erm(35)	erm(35)	erm(35)_1_AF319779
Macrolide, Lincosamide, Streptogramin B	erm(36)	erm(36)	erm(36)_1_AF462611
Macrolide, Lincosamide, Streptogramin B	erm(37)	erm(37)	erm(37)_1_AL123456
Macrolide, Lincosamide, Streptogramin B	erm(38)	erm(38)	erm(38)_1_AY154657
Macrolide, Lincosamide, Streptogramin B	erm(39)	erm(39)	erm(39)_1_AY487229
Macrolide, Lincosamide, Streptogramin B	erm(40)	erm(40)	erm(40)_1_AY570506
Macrolide, Lincosamide, Streptogramin B	erm(41)	erm(41)	erm(41)_1_EU177504
Macrolide, Lincosamide, Streptogramin B	erm(42)	erm(42)	erm(42)_1_FR734406
Macrolide, Lincosamide, Streptogramin B	erm(42)	erm(42)	erm(42)_2_AB601890
Macrolide, Lincosamide, Streptogramin B	erm(43)	erm(43)	erm(43)_1_HE650138
Macrolide, Lincosamide, Streptogramin B	erm(44)	erm(44)	erm(44)_1_HG796218
Macrolide, Lincosamide	erm(44)v	erm(44)v	erm(44)v_1_LN623525
Macrolide, Lincosamide, Streptogramin B	erm(45)	erm(45)	erm(45)_1_LN680996
Macrolide, Lincosamide, Streptogramin B	erm(46)	erm(46)	erm(46)_1_KM679362
Macrolide, Lincosamide, Streptogramin B	erm(47)	erm(47)	erm(47)_1_KU612222
Macrolide, Lincosamide, Streptogramin B	erm(48)	erm(48)	erm(48)_1_LT223129
Macrolide	erm(50)	erm(50)	erm(50)_1_LC473083
Macrolide, Lincosamide, Streptogramin B	erm(A)	erm(A)	erm(A)_1_X03216
Macrolide, Lincosamide, Streptogramin B	erm(A)	erm(A)	erm(A)_2_AF002716
Macrolide, Lincosamide, Streptogramin B	erm(A)	erm(A)	erm(A)_3_EU348758
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_1_JN899585
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_10_U86375
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_11_M19270
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_12_U18931
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_15_U48430
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_18_X66468
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_2_K00551
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_20_AF109075
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_21_U35228
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_22_X52632
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_23_X72021
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_26_AF080450
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_6_AF242872
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_7_AF368302
Macrolide, Lincosamide, Streptogramin B	erm(B)	erm(B)	erm(B)_9_AF299292
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_1_V01278
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_10_Y09002
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_12_Y09003
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_13_M13761
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_14_M12730
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_15_U82607
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_16_AF019140
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_2_M19652
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_3_M17990
Macrolide, Lincosamide, Streptogramin B	erm(C)	erm(C)	erm(C)_9_Y09001
Macrolide, Lincosamide, Streptogramin B	erm(D)	erm(D)	erm(D)_1_M29832
Macrolide, Lincosamide, Streptogramin B	erm(D)	erm(D)	erm(D)_2_L08389
Macrolide, Lincosamide, Streptogramin B	erm(D)	erm(D)	erm(D)_3_M77505
Macrolide, Lincosamide, Streptogramin B	erm(E)	erm(E)	erm(E)_1_X51891
Macrolide, Lincosamide, Streptogramin B	erm(E)	erm(E)	erm(E)_2_M11200
Macrolide, Lincosamide, Streptogramin B	erm(F)	erm(F)	erm(F)_1_M14730
Macrolide, Lincosamide, Streptogramin B	erm(F)	erm(F)	erm(F)_3_M17808
Macrolide, Lincosamide, Streptogramin B	erm(F)	erm(F)	erm(F)_4_M62487
Macrolide, Lincosamide, Streptogramin B	erm(G)	erm(G)	erm(G)_1_M15332
Macrolide, Lincosamide, Streptogramin B	erm(G)	erm(G)	erm(G)_2_L42817
Macrolide, Lincosamide, Streptogramin B	erm(H)	erm(H)	erm(H)_1_M16503
Macrolide, Lincosamide, Streptogramin B	erm(N)	erm(N)	erm(N)_1_X97721
Macrolide, Lincosamide, Streptogramin B	erm(N)	erm(N)	erm(N)_2_MZ015744
Macrolide, Lincosamide, Streptogramin B	erm(O)	erm(O)	erm(O)_1_M74717
Macrolide, Lincosamide, Streptogramin B	erm(O)	erm(O)	erm(O)_2_AJ223970
Macrolide, Lincosamide, Streptogramin B	erm(Q)	erm(Q)	erm(Q)_1_L22689
Macrolide, Lincosamide, Streptogramin B	erm(R)	erm(R)	erm(R)_1_M11276
Macrolide, Lincosamide, Streptogramin B	erm(S)	erm(S)	erm(S)_1_M19269
Macrolide, Lincosamide, Streptogramin B	erm(T)	erm(T)	erm(T)_1_M64090
Macrolide, Lincosamide, Streptogramin B	erm(T)	erm(T)	erm(T)_2_AY894138
Macrolide, Lincosamide, Streptogramin B	erm(T)	erm(T)	erm(T)_3_AF310974
Macrolide, Lincosamide, Streptogramin B	erm(T)	erm(T)	erm(T)_4_AJ488494
Macrolide, Lincosamide, Streptogramin B	erm(U)	erm(U)	erm(U)_1_NG_047843
Macrolide, Lincosamide, Streptogramin B	erm(V)	erm(V)	erm(V)_1_U59450
Macrolide, Lincosamide, Streptogramin B	erm(W)	erm(W)	erm(W)_1_D14532
Macrolide, Lincosamide, Streptogramin B	erm(X)	erm(X)	erm(X)_1_M36726
Macrolide, Lincosamide, Streptogramin B	erm(X)	erm(X)	erm(X)_2_X51472
Macrolide, Lincosamide, Streptogramin B	erm(X)	erm(X)	erm(X)_3_U21300
Macrolide, Lincosamide, Streptogramin B	erm(X)	erm(X)	erm(X)_4_NC_005206
Macrolide, Lincosamide, Streptogramin B	erm(Y)	erm(Y)	erm(Y)_1_AB014481
Macrolide, Lincosamide, Streptogramin B	erm(Z)	erm(Z)	erm(Z)_1_AM709783
Amphenicol	EstDL136	EstDL136	EstDL136_1_JN242251 
Amphenicol	fexA	fexA	fexA_1_AJ549214 
Amphenicol	fexA	fexA	fexA_2_AM408573 
Amphenicol	fexB	fexB	fexB_1_JN201336 
Amphenicol	floR	floR	floR_1_AF071555 
Amphenicol	floR	floR	floR_2_AF118107 
Aminoglycoside	fmrO	fmrO	fmrO_1_Q08325
Fosfomycin	fomA	fomA	fomA_1_AB016934 
Fosfomycin	fomB	fomB	fomB_1_AB016934 
Fosfomycin	fos	fos	fos_1_ACCV01000052 
Fosfomycin	fos	fos	fos_2_FN543093 
Fosfomycin	fosA2	fosA	fosA_1_M85195 
Fosfomycin	fosA	fosA	fosA_2_AGDM01000012 
Fosfomycin	fosA5 like	fosA	fosA_3_ACWO01000079 
Fosfomycin	fosA	fosA	fosA_4_ACWU01000146 
Fosfomycin	fosA5 like	fosA	fosA_5_AFBO01000747 
Fosfomycin	fosA5 like	fosA	fosA_6_ACZD01000244 
Fosfomycin	fosA2	fosA	fosA_7_AEXB01000013 
Fosfomycin	fosA2	fosA2	fosA2_1_EU487198 
Fosfomycin	fosA3	fosA3	fosA3_1_AB522970 
Fosfomycin	fosA4	fosA4	fosA4_1_AB908992 
Fosfomycin	fosA5 like	fosA5	fosA5_1_EU195449 
Fosfomycin	fosA5 like	fosA6	fosA6_1_KU254579 
Fosfomycin	fosA7	fosA7	fosA7_1_LAPJ01000014 
Fosfomycin	fosB3	fosB	fosB_1_X54227 
Fosfomycin	fosB3	fosB	fosB_2_X89875 
Fosfomycin	fosB	fosB	fosB_3_ACHE01000077 
Fosfomycin	fosB	fosB	fosB_4_CP000029 
Fosfomycin	fosB	fosB	fosB_5_AJ605334 
Fosfomycin	fosB1	fosB1	fosB1_1_CP001903 
Fosfomycin	fosB2	fosB2	fosB2_1_AE016879 
Fosfomycin	fosB3	fosB3	fosB3_1_HQ219726 
Fosfomycin	fosB4	fosB4	fosB4_1_KR870311 
Fosfomycin	fosB3	fosB5	fosB5_1_KT032253 
Fosfomycin	fosB3	fosB6	fosB6_1_KR870314 
Fosfomycin	fosC	fosC	fosC_1_Z33413 
Fosfomycin	fosC2	fosC2	fosC2_1_AB522969 
Fosfomycin	fosD	fosD	fosD_1_KC989517 
Fosfomycin	fosE	fosE	fosE_1_AB901041 
Fosfomycin	fosE	fosE	fosE_2_AY029772 
Fosfomycin	fosF	fosF	fosF_1_AY294333 
Fosfomycin	fosG	fosG	fosG_1_DQ112222 
Fosfomycin	fosK	fosK	fosK_1_AB917040 
Fosfomycin	fosL1	fosL1	fosL1_1_MN464149
Fosfomycin	fosX	fosX	fosX_1_AP010904 
Fosfomycin	fosX	fosX	fosX_2_AL591981 
Fosfomycin	fosX	fosX	fosX_3_CP003505 
Fosfomycin	fosX	fosX	fosX_4_DQ342344 
Steroid antibacterial	fusB	fusB	fusB_1_AY373761
Steroid antibacterial	fusB	fusB	fusB_2_JF777505
Steroid antibacterial	fusC	fusC	fusC_1_KF527883
Aminoglycoside	Gar	Gar	Gar_1_NG_070891
Aminoglycoside	grdA	grdA	grdA_1_QJX10702
Aminoglycoside	grmA/B	grmA	grmA_1_M55520
Aminoglycoside	grmA/B	grmB	grmB_1_M55521
Aminoglycoside	grmO	grmO	grmO_1_AY524043
Beta-lactam	hugA	hugA	hugA_1_AF324468
Beta-lactam	cphA like	imiH	imiH_1_AJ548797
Beta-lactam	cphA like	imiS	imiS_1_Y10415
Aminoglycoside	kamB	kamB	kamB_1_AJ629123
Aminoglycoside	kgmB	kgmB	kgmB_1_S60108
Aminoglycoside	kmr	kmr	kmr_1_ENA_ACB88605
Lincosamide	lmr(A)	lmr(A)	lmr(A)_1_X59926
Lincosamide	lnu(A)	lnu(A)	lnu(A)_1_M14039
Lincosamide	lnu(B)	lnu(B)	lnu(B)_1_AJ238249
Lincosamide	lnu(B)	lnu(B)	lnu(B)_2_JQ861959
Lincosamide	lnu(C)	lnu(C)	lnu(C)_1_AY928180
Lincosamide	lnu(D)	lnu(D)	lnu(D)_1_EF452177
Lincosamide	lnu(E)	lnu(E)	lnu(E)_1_KF287643
Lincosamide	lnu(F)	lnu(F)	lnu(F)_1_EU118119
Lincosamide	lnu(F)	lnu(F)	lnu(F)_2_DQ836009
Lincosamide	lnu(F)	lnu(F)	lnu(F)_3_AJ561197
Lincosamide	lnu(G)	lnu(G)	lnu(G)_1_KX470419
Lincosamide	lnu(P)	lnu(P)	lnu(P)_1_FJ589781
Lincosamide, Streptogramin A	lsa(A)	lsa(A)	lsa(A)_1_AY225127
Lincosamide, Streptogramin A	lsa(A)	lsa(A)	lsa(A)_3_AY737526
Lincosamide, Streptogramin A	lsa(B)	lsa(B)	lsa(B)_1_AJ579365
Lincosamide, Streptogramin A, Pleuromutilin	lsa(C)	lsa(C)	lsa(C)_1_HM990671
Lincosamide, Streptogramin A, Pleuromutilin	lsa(E)	lsa(E)	lsa(E)_1_JX560992
Polymyxin	mcr-1.1	mcr-1.1	mcr-1.1_1_KP347127
Polymyxin	mcr-1.10	mcr-1.10	mcr-1.10_1_MF176238
Polymyxin	mcr-1.11	mcr-1.11	mcr-1.11_1_KY853650
Polymyxin	mcr-1.12	mcr-1.12	mcr-1.12_1_LC337668
Polymyxin	mcr-1.13	mcr-1.13	mcr-1.13_1_MG384739
Polymyxin	mcr-1.14	mcr-1.14	mcr-1.14_1_LS398440
Polymyxin	mcr-1.2	mcr-1.2	mcr-1.2_1_KX236309
Polymyxin	mcr-1.26	mcr-1.26	mcr-1.26_1_NG_068217
Polymyxin	mcr-1.27	mcr-1.27	mcr-1.27_1_NG_068218
Polymyxin	mcr-1.3	mcr-1.3	mcr-1.3_1_KU934208
Polymyxin	mcr-1.4	mcr-1.4	mcr-1.4_1_KY041856
Polymyxin	mcr-1.5	mcr-1.5	mcr-1.5_1_KY283125
Polymyxin	mcr-1.6	mcr-1.6	mcr-1.6_1_KY352406
Polymyxin	mcr-1.7	mcr-1.7	mcr-1.7_1_KY488488
Polymyxin	mcr-1.8	mcr-1.8	mcr-1.8_1_KY683842
Polymyxin	mcr-1.9	mcr-1.9	mcr-1.9_1_KY964067
Polymyxin	mcr-10	mcr-10	mcr-10_1_MN179494
Polymyxin	mcr-2	mcr-2.1	mcr-2.1_1_LT598652
Polymyxin	mcr-2	mcr-2.2	mcr-2.2_1_MF176239
Polymyxin	mcr-3 	mcr-3.1	mcr-3.1_1_KY924928
Polymyxin	mcr-3 	mcr-3.10	mcr-3.10_1_MG214531
Polymyxin	mcr-3 	mcr-3.11	mcr-3.11_1_MG489958
Polymyxin	mcr-3 	mcr-3.12	mcr-3.12_1_MG564491
Polymyxin	mcr-3 	mcr-3.13	mcr-3.13_1_MH332763
Polymyxin	mcr-3 	mcr-3.14	mcr-3.14_1_MH332764
Polymyxin	mcr-3 	mcr-3.15	mcr-3.15_1_MH332765
Polymyxin	mcr-3 	mcr-3.16	mcr-3.16_1_MH332766
Polymyxin	mcr-3.17	mcr-3.17	mcr-3.17_1_MH332767
Polymyxin	mcr-3 	mcr-3.18	mcr-3.18_1_MH332768
Polymyxin	mcr-3 	mcr-3.19	mcr-3.19_1_NG055497
Polymyxin	mcr-3 	mcr-3.2	mcr-3.2_1_NMWW01000143
Polymyxin	mcr-3 	mcr-3.20	mcr-3.20_1_NG055493
Polymyxin	mcr-3 	mcr-3.21	mcr-3.21_1_NG060582
Polymyxin	mcr-3 	mcr-3.22	mcr-3.22_1_NG060581
Polymyxin	mcr-3 	mcr-3.23	mcr-3.23_1_NG060583
Polymyxin	mcr-3 	mcr-3.24	mcr-3.24_1_NG060580
Polymyxin	mcr-3 	mcr-3.25	mcr-3.25_1_NG060585
Polymyxin	mcr-3 	mcr-3.3	mcr-3.3_1_MF495680
Polymyxin	mcr-3 	mcr-3.4	mcr-3.4_1_FLXA01000011
Polymyxin	mcr-3 	mcr-3.5	mcr-3.5_1_MF489760
Polymyxin	mcr-3 	mcr-3.6	mcr-3.6_1_MF598076
Polymyxin	mcr-3 	mcr-3.7	mcr-3.7_1_MF598077
Polymyxin	mcr-3 	mcr-3.8	mcr-3.8_1_MF598078
Polymyxin	mcr-3 	mcr-3.9	mcr-3.9_1_MF598080
Polymyxin	mcr-4	mcr-4.1	mcr-4.1_1_MF543359
Polymyxin	mcr-4	mcr-4.2	mcr-4.2_1_MG822663
Polymyxin	mcr-4	mcr-4.3	mcr-4.3_1_MG026621
Polymyxin	mcr-4	mcr-4.4	mcr-4.4_1_MG822665
Polymyxin	mcr-4	mcr-4.5	mcr-4.5_1_MG822664
Polymyxin	mcr-4	mcr-4.6	mcr-4.6_1_MH423812
Polymyxin	Mcr-5	mcr-5.1	mcr-5.1_1_KY807921
Polymyxin	Mcr-5	mcr-5.2	mcr-5.2_1_MG384740
Polymyxin	mcr-6	mcr-6.1	mcr-6.1_1_MF176240
Polymyxin	mcr-7	mcr-7.1	mcr-7.1_1_MG267386
Polymyxin	mcr-8	mcr-8	mcr-8_1_MG736312
Polymyxin	mcr-9	mcr-9	mcr-9_1_NZ_NAAN01000063.1
Macrolide, Lincosamide, Streptogramin A, Streptogramin B, Tetracycline	mdt(A)	mdt(A)	mdt(A)_1_X92946
Beta-lactam	mecA/A2	mecA	mecA_1_NC_002745
Beta-lactam	mecA/A2	mecA	mecA_2_NC_002951
Beta-lactam	mecA/A2	mecA	mecA_3_Y13095
Beta-lactam	mecA/A2	mecA	mecA_4_AB546266
Beta-lactam	mecA/A2	mecA	mecA_5_AB546267
Beta-lactam	mecA/A2	mecA	mecA_6_BX571856
Beta-lactam	mecA/A2	mecA	mecA_7_HE861945
Beta-lactam	mecA/A2	mecA	mecA_8_NC_007168
Beta-lactam	mecA/A2	mecA	mecA_9_AB505630
Beta-lactam	mecA1	mecA1	mecA1_1_AB547235
Beta-lactam	mecA1	mecA1	mecA1_2_AY820253
