gene	Family
blaCTX-M-144	Beta-lactam
blaCTX-M-146	Beta-lactam
blaCTX-M-147	Beta-lactam
blaCTX-M-148	Beta-lactam
blaCTX-M-14b	Beta-lactam
blaCTX-M-15	Beta-lactam
blaCTX-M-150	Beta-lactam
blaCTX-M-151	Beta-lactam
blaCTX-M-155	Beta-lactam
blaCTX-M-156	Beta-lactam
blaCTX-M-157	Beta-lactam
blaCTX-M-158	Beta-lactam
blaCTX-M-159	Beta-lactam
blaCTX-M-16	Beta-lactam
blaCTX-M-160	Beta-lactam
blaCTX-M-161	Beta-lactam
blaCTX-M-162	Beta-lactam
blaCTX-M-163	Beta-lactam
blaCTX-M-164	Beta-lactam
blaCTX-M-165	Beta-lactam
blaCTX-M-166	Beta-lactam
blaCTX-M-167	Beta-lactam
blaCTX-M-168	Beta-lactam
blaCTX-M-169	Beta-lactam
blaCTX-M-17	Beta-lactam
blaCTX-M-170	Beta-lactam
blaCTX-M-171	Beta-lactam
blaCTX-M-172	Beta-lactam
blaCTX-M-173	Beta-lactam
blaCTX-M-174	Beta-lactam
blaCTX-M-175	Beta-lactam
blaCTX-M-176	Beta-lactam
blaCTX-M-177	Beta-lactam
blaCTX-M-179	Beta-lactam
blaCTX-M-180	Beta-lactam
blaCTX-M-181	Beta-lactam
blaCTX-M-182	Beta-lactam
blaCTX-M-183	Beta-lactam
blaCTX-M-184	Beta-lactam
blaCTX-M-186	Beta-lactam
blaCTX-M-188	Beta-lactam
blaCTX-M-189	Beta-lactam
blaCTX-M-19	Beta-lactam
blaCTX-M-190	Beta-lactam
blaCTX-M-191	Beta-lactam
blaCTX-M-192	Beta-lactam
blaCTX-M-193	Beta-lactam
blaCTX-M-194	Beta-lactam
blaCTX-M-195	Beta-lactam
blaCTX-M-196	Beta-lactam
blaCTX-M-197	Beta-lactam
blaCTX-M-198	Beta-lactam
blaCTX-M-199	Beta-lactam
blaCTX-M-2	Beta-lactam
blaCTX-M-20	Beta-lactam
blaCTX-M-200	Beta-lactam
blaCTX-M-201	Beta-lactam
blaCTX-M-202	Beta-lactam
blaCTX-M-203	Beta-lactam
blaCTX-M-204	Beta-lactam
blaCTX-M-206	Beta-lactam
blaCTX-M-207	Beta-lactam
blaCTX-M-208	Beta-lactam
blaCTX-M-209	Beta-lactam
blaCTX-M-21	Beta-lactam
blaCTX-M-210	Beta-lactam
blaCTX-M-211	Beta-lactam
blaCTX-M-212	Beta-lactam
blaCTX-M-213	Beta-lactam
blaCTX-M-214	Beta-lactam
blaCTX-M-216	Beta-lactam
blaCTX-M-217	Beta-lactam
blaCTX-M-218	Beta-lactam
blaCTX-M-219	Beta-lactam
blaCTX-M-22	Beta-lactam
blaCTX-M-220	Beta-lactam
blaCTX-M-23	Beta-lactam
blaCTX-M-24	Beta-lactam
blaCTX-M-25	Beta-lactam
blaCTX-M-26	Beta-lactam
blaCTX-M-27	Beta-lactam
blaCTX-M-28	Beta-lactam
blaCTX-M-29	Beta-lactam
blaCTX-M-3	Beta-lactam
blaCTX-M-30	Beta-lactam
blaCTX-M-31	Beta-lactam
blaCTX-M-32	Beta-lactam
blaCTX-M-33	Beta-lactam
blaCTX-M-34	Beta-lactam
blaCTX-M-35	Beta-lactam
blaCTX-M-36	Beta-lactam
blaCTX-M-37	Beta-lactam
blaCTX-M-38	Beta-lactam
blaCTX-M-39	Beta-lactam
blaCTX-M-4	Beta-lactam
blaCTX-M-40	Beta-lactam
blaCTX-M-41	Beta-lactam
blaCTX-M-42	Beta-lactam
blaCTX-M-43	Beta-lactam
blaCTX-M-44	Beta-lactam
blaCTX-M-46	Beta-lactam
blaCTX-M-47	Beta-lactam
blaCTX-M-48	Beta-lactam
blaCTX-M-49	Beta-lactam
blaCTX-M-5	Beta-lactam
blaCTX-M-50	Beta-lactam
blaCTX-M-51	Beta-lactam
blaCTX-M-52	Beta-lactam
blaCTX-M-53	Beta-lactam
blaCTX-M-54	Beta-lactam
blaCTX-M-55	Beta-lactam
blaCTX-M-56	Beta-lactam
blaCTX-M-58	Beta-lactam
blaCTX-M-59	Beta-lactam
blaCTX-M-6	Beta-lactam
blaCTX-M-60	Beta-lactam
blaCTX-M-61	Beta-lactam
blaCTX-M-62	Beta-lactam
blaCTX-M-63	Beta-lactam
blaCTX-M-64	Beta-lactam
blaCTX-M-65	Beta-lactam
blaCTX-M-66	Beta-lactam
blaCTX-M-67	Beta-lactam
blaCTX-M-68	Beta-lactam
blaCTX-M-69	Beta-lactam
blaCTX-M-7	Beta-lactam
blaCTX-M-71	Beta-lactam
blaCTX-M-72	Beta-lactam
blaCTX-M-73	Beta-lactam
blaCTX-M-74	Beta-lactam
blaCTX-M-75	Beta-lactam
blaCTX-M-76	Beta-lactam
blaCTX-M-77	Beta-lactam
blaCTX-M-78	Beta-lactam
blaCTX-M-79	Beta-lactam
blaCTX-M-8	Beta-lactam
blaCTX-M-80	Beta-lactam
blaCTX-M-81	Beta-lactam
blaCTX-M-82	Beta-lactam
blaCTX-M-83	Beta-lactam
blaCTX-M-84	Beta-lactam
blaCTX-M-85	Beta-lactam
blaCTX-M-86	Beta-lactam
blaCTX-M-87	Beta-lactam
blaCTX-M-88	Beta-lactam
blaCTX-M-89	Beta-lactam
blaCTX-M-9	Beta-lactam
blaCTX-M-90	Beta-lactam
blaCTX-M-91	Beta-lactam
blaCTX-M-92	Beta-lactam
blaCTX-M-93	Beta-lactam
blaCTX-M-94	Beta-lactam
blaCTX-M-95	Beta-lactam
blaCTX-M-96	Beta-lactam
blaCTX-M-97	Beta-lactam
blaCTX-M-98	Beta-lactam
blaCTX-M-99	Beta-lactam
blaDHA-1	Beta-lactam
blaDHA-10	Beta-lactam
blaDHA-12	Beta-lactam
blaDHA-13	Beta-lactam
blaDHA-14	Beta-lactam
blaDHA-15	Beta-lactam
blaDHA-16	Beta-lactam
blaDHA-17	Beta-lactam
blaDHA-18	Beta-lactam
blaDHA-19	Beta-lactam
blaDHA-2	Beta-lactam
blaDHA-20	Beta-lactam
blaDHA-21	Beta-lactam
blaDHA-22	Beta-lactam
blaDHA-23	Beta-lactam
blaDHA-24	Beta-lactam
blaDHA-25	Beta-lactam
blaDHA-26	Beta-lactam
blaDHA-27	Beta-lactam
blaDHA-3	Beta-lactam
blaDHA-4	Beta-lactam
blaDHA-5	Beta-lactam
blaDHA-6	Beta-lactam
blaDHA-7	Beta-lactam
blaDHA-9	Beta-lactam
blaFRI-1	Beta-lactam
blaFRI-2	Beta-lactam
blaFRI-3	Beta-lactam
blaFRI-4	Beta-lactam
blaFRI-5	Beta-lactam
blaIMP-1	Beta-lactam
blaIMP-10	Beta-lactam
blaIMP-11	Beta-lactam
blaIMP-12	Beta-lactam
blaIMP-13	Beta-lactam
blaIMP-14	Beta-lactam
blaIMP-15	Beta-lactam
blaIMP-16	Beta-lactam
blaIMP-17	Beta-lactam
blaIMP-18	Beta-lactam
blaIMP-19	Beta-lactam
blaIMP-2	Beta-lactam
blaIMP-20	Beta-lactam
blaIMP-21	Beta-lactam
blaIMP-22	Beta-lactam
blaIMP-23	Beta-lactam
blaIMP-24	Beta-lactam
blaIMP-25	Beta-lactam
blaIMP-26	Beta-lactam
blaIMP-27	Beta-lactam
blaIMP-28	Beta-lactam
blaIMP-29	Beta-lactam
blaIMP-3	Beta-lactam
blaIMP-30	Beta-lactam
blaIMP-31	Beta-lactam
blaIMP-32	Beta-lactam
blaIMP-33	Beta-lactam
blaIMP-34	Beta-lactam
blaIMP-35	Beta-lactam
blaIMP-37	Beta-lactam
blaIMP-38	Beta-lactam
blaIMP-4	Beta-lactam
blaIMP-40	Beta-lactam
blaIMP-41	Beta-lactam
blaIMP-42	Beta-lactam
blaIMP-43	Beta-lactam
blaIMP-44	Beta-lactam
blaIMP-45	Beta-lactam
blaIMP-48	Beta-lactam
blaIMP-49	Beta-lactam
blaIMP-5	Beta-lactam
blaIMP-51	Beta-lactam
blaIMP-52	Beta-lactam
blaIMP-53	Beta-lactam
blaIMP-54	Beta-lactam
blaIMP-55	Beta-lactam
blaIMP-56	Beta-lactam
blaIMP-58	Beta-lactam
blaIMP-59	Beta-lactam
blaIMP-6	Beta-lactam
blaIMP-60	Beta-lactam
blaIMP-61	Beta-lactam
blaIMP-62	Beta-lactam
blaIMP-63	Beta-lactam
blaIMP-64	Beta-lactam
blaIMP-66	Beta-lactam
blaIMP-67	Beta-lactam
blaIMP-68	Beta-lactam
blaIMP-7	Beta-lactam
blaIMP-70	Beta-lactam
blaIMP-71	Beta-lactam
blaIMP-73	Beta-lactam
blaIMP-74	Beta-lactam
blaIMP-75	Beta-lactam
blaIMP-8	Beta-lactam
blaIMP-9	Beta-lactam
blaKPC-10	Beta-lactam
blaKPC-11	Beta-lactam
blaKPC-12	Beta-lactam
blaKPC-13	Beta-lactam
blaKPC-14	Beta-lactam
blaKPC-15	Beta-lactam
blaKPC-16	Beta-lactam
blaKPC-17	Beta-lactam
blaKPC-18	Beta-lactam
blaKPC-19	Beta-lactam
blaKPC-2	Beta-lactam
blaKPC-21	Beta-lactam
blaKPC-22	Beta-lactam
blaKPC-23	Beta-lactam
blaKPC-24	Beta-lactam
blaKPC-25	Beta-lactam
blaKPC-26	Beta-lactam
blaKPC-27	Beta-lactam
blaKPC-28	Beta-lactam
blaKPC-29	Beta-lactam
blaKPC-3	Beta-lactam
blaKPC-30	Beta-lactam
blaKPC-31	Beta-lactam
blaKPC-32	Beta-lactam
blaKPC-33	Beta-lactam
blaKPC-34	Beta-lactam
blaKPC-35	Beta-lactam
blaKPC-4	Beta-lactam
blaKPC-5	Beta-lactam
blaKPC-6	Beta-lactam
blaKPC-7	Beta-lactam
blaKPC-8	Beta-lactam
blaKPC-9	Beta-lactam
blaNDM-1	Beta-lactam
blaNDM-10	Beta-lactam
blaNDM-12	Beta-lactam
blaNDM-13	Beta-lactam
blaNDM-14	Beta-lactam
blaNDM-15	Beta-lactam
blaNDM-16	Beta-lactam
blaNDM-17	Beta-lactam
blaNDM-19	Beta-lactam
blaNDM-2	Beta-lactam
blaNDM-20	Beta-lactam
blaNDM-21	Beta-lactam
blaNDM-22	Beta-lactam
blaNDM-23	Beta-lactam
blaNDM-24	Beta-lactam
blaNDM-3	Beta-lactam
blaNDM-4	Beta-lactam
blaNDM-5	Beta-lactam
blaNDM-6	Beta-lactam
blaNDM-7	Beta-lactam
blaNDM-8	Beta-lactam
blaNDM-9	Beta-lactam
blaOXA-1	Beta-lactam
blaOXA-102	Beta-lactam
blaOXA-103	Beta-lactam
blaOXA-11	Beta-lactam
blaOXA-13	Beta-lactam
blaOXA-134	Beta-lactam
blaOXA-138	Beta-lactam
blaOXA-14	Beta-lactam
blaOXA-143	Beta-lactam
blaOXA-145	Beta-lactam
blaOXA-147	Beta-lactam
blaOXA-15	Beta-lactam
blaOXA-153	Beta-lactam
blaOXA-154	Beta-lactam
blaOXA-156	Beta-lactam
blaOXA-157	Beta-lactam
blaOXA-158	Beta-lactam
blaOXA-159	Beta-lactam
blaOXA-16	Beta-lactam
blaOXA-160	Beta-lactam
blaOXA-161	Beta-lactam
blaOXA-162	Beta-lactam
blaOXA-163	Beta-lactam
blaOXA-164	Beta-lactam
blaOXA-17	Beta-lactam
blaOXA-18	Beta-lactam
blaOXA-181	Beta-lactam
blaOXA-19	Beta-lactam
blaOXA-194	Beta-lactam
blaOXA-198	Beta-lactam
blaOXA-2	Beta-lactam
blaOXA-2	Beta-lactam
blaOXA-204	Beta-lactam
blaOXA-207	Beta-lactam
blaOXA-226	Beta-lactam
blaOXA-23	Beta-lactam
blaOXA-231	Beta-lactam
blaOXA-235	Beta-lactam
blaOXA-24	Beta-lactam
blaOXA-245	Beta-lactam
blaOXA-247	Beta-lactam
blaOXA-253	Beta-lactam
blaOXA-255	Beta-lactam
blaOXA-266	Beta-lactam
blaOXA-28	Beta-lactam
blaOXA-301	Beta-lactam
