gene	Family
mecA	Beta-lactam
mecA	Beta-lactam
mecA	Beta-lactam
mecA	Beta-lactam
mecA	Beta-lactam
mecA	Beta-lactam
mecA1	Beta-lactam
mecA1	Beta-lactam
mecA1	Beta-lactam
mecA1	Beta-lactam
mecA1	Beta-lactam
mecA2	Beta-lactam
mecA2	Beta-lactam
mecB	Beta-lactam
mecC	Beta-lactam
mecC	Beta-lactam
mecC	Beta-lactam
mecC	Beta-lactam
mecC2	Beta-lactam
mecD	Beta-lactam
mef(A)	MLSP
mef(A)	MLSP
mef(A)	MLSP
mef(A)	MLSP
mef(B)	MLSP
mph(A)	MLSP
mph(A)	MLSP
mph(B)	MLSP
mph(C)	MLSP
mph(C)	MLSP
mph(C)	MLSP
mph(C)	MLSP
mph(C)	MLSP
mph(D)	MLSP
mph(E)	MLSP
mph(E)	MLSP
mph(J)	MLSP
mph(N)	MLSP
mre(A)	MLSP
msr(A)	MLSP
msr(A)	MLSP
msr(C)	MLSP
msr(C)	MLSP
msr(D)	MLSP
msr(D)	MLSP
msr(E)	MLSP
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
optrA	Oxazolidinone
oqxA	Quinolone
oqxB	Quinolone
poxtA	Oxazolidinone
qepA	Quinolone
qepA1	Quinolone
qepA2	Quinolone
qepA3	Quinolone
qepA4	Quinolone
qnrA1	Quinolone
qnrA2	Quinolone
qnrA3	Quinolone
qnrA4	Quinolone
qnrA5	Quinolone
qnrA6	Quinolone
qnrA7	Quinolone
qnrA8	Quinolone
qnrB1	Quinolone
qnrB10	Quinolone
qnrB10	Quinolone
qnrB11	Quinolone
qnrB12	Quinolone
qnrB13	Quinolone
qnrB14	Quinolone
qnrB15	Quinolone
qnrB16	Quinolone
qnrB17	Quinolone
qnrB17	Quinolone
qnrB18	Quinolone
qnrB19	Quinolone
qnrB2	Quinolone
qnrB20	Quinolone
qnrB21	Quinolone
qnrB22	Quinolone
qnrB23	Quinolone
qnrB24	Quinolone
qnrB25	Quinolone
qnrB26	Quinolone
qnrB27	Quinolone
qnrB28	Quinolone
qnrB29	Quinolone
qnrB3	Quinolone
qnrB30	Quinolone
qnrB31	Quinolone
qnrB32	Quinolone
qnrB33	Quinolone
qnrB34	Quinolone
qnrB35	Quinolone
qnrB36	Quinolone
qnrB37	Quinolone
qnrB38	Quinolone
qnrB39	Quinolone
qnrB4	Quinolone
qnrB40	Quinolone
qnrB41	Quinolone
qnrB42	Quinolone
qnrB43	Quinolone
qnrB44	Quinolone
qnrB45	Quinolone
qnrB46	Quinolone
qnrB47	Quinolone
qnrB48	Quinolone
qnrB49	Quinolone
qnrB5	Quinolone
qnrB50	Quinolone
qnrB51	Quinolone
qnrB52	Quinolone
qnrB53	Quinolone
qnrB54	Quinolone
qnrB55	Quinolone
qnrB56	Quinolone
qnrB57	Quinolone
qnrB58	Quinolone
qnrB59	Quinolone
qnrB6	Quinolone
qnrB6	Quinolone
qnrB60	Quinolone
qnrB61	Quinolone
qnrB62	Quinolone
qnrB64	Quinolone
qnrB65	Quinolone
qnrB66	Quinolone
qnrB67	Quinolone
qnrB68	Quinolone
qnrB69	Quinolone
qnrB7	Quinolone
qnrB70	Quinolone
qnrB71	Quinolone
qnrB72	Quinolone
qnrB73	Quinolone
qnrB74	Quinolone
qnrB75	Quinolone
qnrB76	Quinolone
qnrB77	Quinolone
qnrB78	Quinolone
qnrB8	Quinolone
qnrB80	Quinolone
qnrB81	Quinolone
qnrB82	Quinolone
qnrB9	Quinolone
qnrC	Quinolone
qnrD1	Quinolone
qnrD2	Quinolone
qnrD3	Quinolone
qnrE1	Quinolone
qnrS1	Quinolone
qnrS2	Quinolone
qnrS3	Quinolone
qnrS4	Quinolone
qnrS5	Quinolone
qnrS6	Quinolone
qnrS7	Quinolone
qnrS8	Quinolone
qnrS9	Quinolone
qnrVC1	Quinolone
qnrVC3	Quinolone
qnrVC4	Quinolone
qnrVC5	Quinolone
qnrVC6	Quinolone
qnrVC7	Quinolone
tet(X)	Tetracycline
tet(X)	Tetracycline
tet(X)	Tetracycline
tetA(46)	Tetracycline
tetA(60)	Tetracycline
tetB(46)	Tetracycline
tetB(60)	Tetracycline
VanA	Glycopeptide
VanC1XY	Glycopeptide
VanC1XY	Glycopeptide
VanC2	Glycopeptide
VanC2XY	Glycopeptide
VanC2XY	Glycopeptide
VanC2XY	Glycopeptide
VanC2XY	Glycopeptide
VanC2XY	Glycopeptide
VanC3XY	Glycopeptide
VanC3XY	Glycopeptide
VanC4XY	Glycopeptide
VanC4XY	Glycopeptide
VanC4XY	Glycopeptide
VanE	Glycopeptide
VanEXY	Glycopeptide
VanG2XY	Glycopeptide
VanGXY	Glycopeptide
VanH	Glycopeptide
VanHAX	Glycopeptide
VanHAX	Glycopeptide
VanHAX	Glycopeptide
VanHAX	Glycopeptide
VanHAX	Glycopeptide
VanHBX	Glycopeptide
VanHBX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHDX	Glycopeptide
VanHFX	Glycopeptide
VanHMX	Glycopeptide
VanHOX	Glycopeptide
VanLXY	Glycopeptide
VanNXY	Glycopeptide
VanX	Glycopeptide
vanXmurFvanKWI	Glycopeptide
vanXmurFvanKWI	Glycopeptide
vanXmurFvanWI	Glycopeptide
VanXY	Glycopeptide
