resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
P295_73321	MASTER_WP4_CSIC_95	P295_73321_R1	CSIC	P295_73321	28	MASTER_WP4_CSIC_1	MASTER_WP4_CSIC_1__P295_73321	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Packing	-	Cow	Semi-cured cheese	48144004	137869	25
P296_73323	MASTER_WP4_CSIC_96	P296_73323_R1	CSIC	P296_73323	28	MASTER_WP4_CSIC_1	MASTER_WP4_CSIC_1__P296_73323	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Packing	-	Cow	Semi-cured cheese	21911964	35749	6
P297	P297	P2186_73322_R1	CSIC	P297	28	MASTER_WP4_CSIC_3	MASTER_WP4_CSIC_3__P297	Cheese_Dairy	Semicured_cheese	Operator	-	-	Operator	-	Cow	Semi-cured cheese	46239788	67557	24
Q01.01	WP4-ULEE-Q01-01	Q01-01_R1	ULE	Q01 A1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-01	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Processing	-	Cow-Goat-Sheep	Semi-cured cheese	131567	42531	4
Q01.05	WP4-ULEE-Q01-05	Q01-05_R1	ULE	Q01 B1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-05	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Ripening	-	Cow-Goat-Sheep	Semi-cured cheese	150997	123355	13
Q01.06	WP4-ULEE-Q01-06	Q01-06_R1	ULE	Q01 B2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-06	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Ripening	-	Cow-Goat-Sheep	Semi-cured cheese	167490	35147	3
Q01.09	WP4-ULEE-Q01-09	Q01-09_R1	ULE	Q01 C1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-09	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Packing	-	Cow-Goat-Sheep	Semi-cured cheese	151177	34526	7
Q01.10	WP4-ULEE-Q01-10	Q01-10_R1	ULE	Q01 C2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-10	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Packing	-	Cow-Goat-Sheep	Semi-cured cheese	292163	35790	7
Q01.11	WP4-ULEE-Q01-11	Q01-11_R1	ULE	Q01 A2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-11	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Cow-Goat-Sheep	Semi-cured cheese	148025	38117	7
Q01.12	WP4-ULEE-Q01-12	Q01-12_R1	ULE	Q01 A3	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-12	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Cow-Goat-Sheep	Semi-cured cheese	1207126	11942	3
