resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
C01.01	WP4-ULEE-C01-01	C01-01_R1	ULE	C01 A1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	188935	95565	4
C01.02	WP4-ULEE-C01-02	C01-02_R1	ULE	C01 A2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	309325	59676	2
C01.03	WP4-ULEE-C01-03	C01-03_R1	ULE	C01 B1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	587165	75357	5
C01.04	WP4-ULEE-C01-04	C01-04_R1	ULE	C01 B2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-04	Meat	Cured_meats	Food_contact	-	-	Cold	-	Cow	-	820428	36970	2
C01.05	WP4-ULEE-C01-05	C01-05_R1	ULE	C01 C1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	194095	80221	8
C01.06	WP4-ULEE-C01-06	C01-06_R1	ULE	C01 C2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	503549	38531	5
C01.07	WP4-ULEE-C01-07	C01-07_R1	ULE	C01 D1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-07	Meat	Cured_meats	Non_food_contact	-	-	Smoking	-	Cow	-	85708	46251	13
C01.08	WP4-ULEE-C01-08	C01-08_R1	ULE	C01 D2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-08	Meat	Cured_meats	Food_contact	-	-	Smoking	-	Cow	-	519116	57295	3
C01.09	WP4-ULEE-C01-09	C01-09_R1	ULE	C01 E1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	104104	47749	2
C01.14	WP4-ULEE-C01-14	C01-14_R1	ULE	C01 CN1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-14	Meat	Cured_meats	Negative_control_industry	-	-	-	-	Cow	-	199380	56031	8
C01.16	WP4-ULEE-C01-16	C01-16_R1	ULE	C01 G1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2162109	62700	0
C01.17	WP4-ULEE-C01-17	C01-17_R1	ULE	C01 G2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2201775	98756	0
C01.18	WP4-ULEE-C01-18	C01-18_R1	ULE	C01 H1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-18	Meat	Cured_meats	Final_product	-	-	Final_product	Around 1 year	Cow	-	2344590	103911	0
C01.19	WP4-ULEE-C01-19	C01-19_R1	ULE	C01 H2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-19	Meat	Cured_meats	Final_product	-	-	Final_product	Around 1 year	Cow	-	3139436	134121	0
C02.01	WP4-ULEE-C02-01	C02-01_R1	ULE	C02 A1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	278636	107608	11
C02.02	WP4-ULEE-C02-02	C02-02_R1	ULE	C02 A2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	420600	73578	6
C02.03	WP4-ULEE-C02-03	C02-03_R1	ULE	C02 B1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	266704	93168	14
C02.04	WP4-ULEE-C02-04	C02-04_R1	ULE	C02 B2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-04	Meat	Cured_meats	Food_contact	-	-	Cold	-	Cow	-	297534	38636	8
C02.05	WP4-ULEE-C02-05	C02-05_R1	ULE	C02 C1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	249927	72440	17
C02.06	WP4-ULEE-C02-06	C02-06_R1	ULE	C02 C2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	775692	45935	7
C02.07	WP4-ULEE-C02-07	C02-07_R1	ULE	C02 D1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-07	Meat	Cured_meats	Non_food_contact	-	-	Smoking	-	Cow	-	387588	89819	4
C02.08	WP4-ULEE-C02-08	C02-08_R1	ULE	C02 D2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-08	Meat	Cured_meats	Food_contact	-	-	Smoking	-	Cow	-	136633	52170	5
C02.09	WP4-ULEE-C02-09	C02-09_R1	ULE	C02 E1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	158792	111153	7
C02.10	WP4-ULEE-C02-10	C02-10_R1	ULE	C02 E2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-10	Meat	Cured_meats	Food_contact	-	-	Packing	-	Cow	-	379876	57058	7
C02.14	WP4-ULEE-C02-14	C02-14_R1	ULE	C02 CN1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-14	Meat	Cured_meats	Negative_control_industry	-	-	-	-	Cow	-	268072	887	2
C02.15	WP4-ULEE-C02-15	C02-15_R1	ULE	C02 CN2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-15	Meat	Cured_meats	Negative_control_laboratory	-	-	-	-	Cow	-	96806	3297	1
C02.16	WP4-ULEE-C02-16	C02-16_R1	ULE	C02 G1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	1815490	37597	2
C02.17	WP4-ULEE-C02-17	C02-17_R1	ULE	C02 G2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	1718264	55141	2
C02.18	WP4-ULEE-C02-18	C02-18_R1	ULE	C02 H1	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-18	Meat	Cured_meats	Final_product	-	-	Final_product	300 days	Cow	-	513035	19572	0
C02.19	WP4-ULEE-C02-19	C02-19_R1	ULE	C02 H2	C02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C02-19	Meat	Cured_meats	Final_product	-	-	Final_product	300 days	Cow	-	717253	38179	3
C03.01	WP4-ULEE-C03-01	C03-01_R1	ULE	C03 A1	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-01	Meat	Aged_beef	Non_food_contact	-	-	Processing	-	Cow	-	172669	118418	11
C03.02	WP4-ULEE-C03-02	C03-02_R1	ULE	C03 A2	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-02	Meat	Aged_beef	Food_contact	-	-	Processing	-	Cow	-	179170	139283	12
C03.03	WP4-ULEE-C03-03	C03-03_R1	ULE	C03 B1	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-03	Meat	Aged_beef	Non_food_contact	-	-	Cold	-	Cow	-	199695	82923	18
C03.04	WP4-ULEE-C03-04	C03-04_R1	ULE	C03 B2	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-04	Meat	Aged_beef	Food_contact	-	-	Cold	-	Cow	-	230750	55847	12
C03.10	WP4-ULEE-C03-10	C03-10_R1	ULE	C03 E2	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-10	Meat	Aged_beef	Food_contact	-	-	Packing	-	Cow	-	233099	108699	16
C03.16	WP4-ULEE-C03-16	C03-16_R1	ULE	C03 G1	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-16	Meat	Aged_beef	Before_ripening	-	-	Raw_material	-	Cow	-	1923052	72746	0
C03.17	WP4-ULEE-C03-17	C03-17_R1	ULE	C03 G2	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-17	Meat	Aged_beef	Before_ripening	-	-	Raw_material	-	Cow	-	1776495	61787	0
C03.18	WP4-ULEE-C03-18	C03-18_R1	ULE	C03 H1	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-18	Meat	Aged_beef	Final_product	-	-	Final_product	60 days	Cow	-	256583	34922	2
C03.19	WP4-ULEE-C03-19	C03-19_R1	ULE	C03 H2	C03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C03-19	Meat	Aged_beef	Final_product	-	-	Final_product	60 days	Cow	-	364812	56026	3
C04.01	WP4-ULEE-C04-01	C04-01_R1	ULE	C04 A1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	467716	124313	8
C04.02	WP4-ULEE-C04-02	C04-02_R1	ULE	C04 A2	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	285918	85588	5
C04.05	WP4-ULEE-C04-05	C04-05_R1	ULE	C04 C1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	362633	121052	18
C04.06	WP4-ULEE-C04-06	C04-06_R1	ULE	C04 C2	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	1972060	32530	0
C04.07	WP4-ULEE-C04-07	C04-07_R1	ULE	C04 D1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-07	Meat	Cured_meats	Non_food_contact	-	-	Smoking	-	Cow	-	134274	90017	16
C04.09	WP4-ULEE-C04-09	C04-09_R1	ULE	C04 E1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	804566	43357	1
C04.10	WP4-ULEE-C04-10	C04-10_R1	ULE	C04 E2	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-10	Meat	Cured_meats	Food_contact	-	-	Packing	-	Cow	-	578425	53199	5
C04.16	WP4-ULEE-C04-16	C04-16_R1	ULE	C04 G1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	1146404	36129	1
C04.17	WP4-ULEE-C04-17	C04-17_R1	ULE	C04 G2	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	544347	32526	2
C04.18	WP4-ULEE-C04-18	C04-18_R1	ULE	C04 H1	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-18	Meat	Cured_meats	Final_product	-	-	Final_product	210 days	Cow	-	394906	25480	1
C04.19	WP4-ULEE-C04-19	C04-19_R1	ULE	C04 H2	C04	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C04-19	Meat	Cured_meats	Final_product	-	-	Final_product	210 days	Cow	-	423667	15166	0
C05.01	WP4-ULEE-C05-01	C05-01_R1	ULE	C05 A1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	206479	93290	16
C05.02	WP4-ULEE-C05-02	C05-02_R1	ULE	C05 A2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	213012	36352	5
C05.03	WP4-ULEE-C05-03	C05-03_R1	ULE	C05 B1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	1333066	60388	4
C05.05	WP4-ULEE-C05-05	C05-05_R1	ULE	C05 C1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	163194	67500	28
C05.06	WP4-ULEE-C05-06	C05-06_R1	ULE	C05 C2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	490191	64118	6
C05.07	WP4-ULEE-C05-07	C05-07_R1	ULE	C05 D1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-07	Meat	Cured_meats	Non_food_contact	-	-	Smoking	-	Cow	-	211822	31774	6
C05.08	WP4-ULEE-C05-08	C05-08_R1	ULE	C05 D2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-08	Meat	Cured_meats	Food_contact	-	-	Smoking	-	Cow	-	379744	37077	1
C05.09	WP4-ULEE-C05-09	C05-09_R1	ULE	C05 E1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	158966	115018	12
C05.10	WP4-ULEE-C05-10	C05-10_R1	ULE	C05 E2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-10	Meat	Cured_meats	Food_contact	-	-	Packing	-	Cow	-	490189	66598	2
C05.16	WP4-ULEE-C05-16	C05-16_R1	ULE	C05 G1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	861703	29193	6
C05.17	WP4-ULEE-C05-17	C05-17_R1	ULE	C05 G2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	479731	28569	4
C05.18	WP4-ULEE-C05-18	C05-18_R1	ULE	C05 H1	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-18	Meat	Cured_meats	Final_product	-	-	Final_product	-	Cow	-	473308	60531	7
C05.19	WP4-ULEE-C05-19	C05-19_R1	ULE	C05 H2	C05	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C05-19	Meat	Cured_meats	Final_product	-	-	Final_product	-	Cow	-	600840	46605	2
C06.01	WP4-ULEE-C06-01	C06-01_R1	ULE	C06 A1	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-01	Meat	Aged_beef	Non_food_contact	-	-	Processing	-	Cow	-	233334	156469	11
C06.02	WP4-ULEE-C06-02	C06-02_R1	ULE	C06 A2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-02	Meat	Aged_beef	Food_contact	-	-	Processing	-	Cow	-	463624	75593	10
C06.03	WP4-ULEE-C06-03	C06-03_R1	ULE	C06 B1	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-03	Meat	Aged_beef	Non_food_contact	-	-	Cold	-	Cow	-	203976	85753	22
C06.04	WP4-ULEE-C06-04	C06-04_R1	ULE	C06 B2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-04	Meat	Aged_beef	Food_contact	-	-	Cold	-	Cow	-	1447683	53756	3
C06.05	WP4-ULEE-C06-05	C06-05_R1	ULE	C06 C1	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-05	Meat	Aged_beef	Non_food_contact	-	-	Ripening	-	Cow	-	287649	111447	24
C06.06	WP4-ULEE-C06-06	C06-06_R1	ULE	C06 C2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-06	Meat	Aged_beef	Food_contact	-	-	Ripening	-	Cow	-	749360	45089	5
C06.10	WP4-ULEE-C06-10	C06-10_R1	ULE	C06 E2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-10	Meat	Aged_beef	Food_contact	-	-	Packing	-	Cow	-	332396	32238	3
C06.16	WP4-ULEE-C06-16	C06-16_R1	ULE	C06 G1	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-16	Meat	Aged_beef	Before_ripening	-	-	Raw_material	-	Cow	-	2346610	88329	2
C06.17	WP4-ULEE-C06-17	C06-17_R1	ULE	C06 G2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-17	Meat	Aged_beef	Before_ripening	-	-	Raw_material	-	Cow	-	1931394	63505	3
C06.18	WP4-ULEE-C06-18	C06-18_R1	ULE	C06 H1	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-18	Meat	Aged_beef	Final_product	-	-	Final_product	at least 3 months	Cow	-	799535	52111	3
C06.19	WP4-ULEE-C06-19	C06-19_R1	ULE	C06 H2	C06	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C06-19	Meat	Aged_beef	Final_product	-	-	Final_product	at least 3 months	Cow	-	387073	29284	2
C07.01	WP4-ULEE-C07-01	C07-01_R1	ULE	C07 A1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	203839	98085	13
C07.02	WP4-ULEE-C07-02	C07-02_R1	ULE	C07 A2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	102566	46222	8
C07.03	WP4-ULEE-C07-03	C07-03_R1	ULE	C07 B1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	142906	111012	16
C07.04	WP4-ULEE-C07-04	C07-04_R1	ULE	C07 B2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-04	Meat	Cured_meats	Food_contact	-	-	Cold	-	Cow	-	4209471	28890	3
C07.05	WP4-ULEE-C07-05	C07-05_R1	ULE	C07 C1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	183433	118271	32
C07.06	WP4-ULEE-C07-06	C07-06_R1	ULE	C07 C2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	1566828	40058	7
C07.09	WP4-ULEE-C07-09	C07-09_R1	ULE	C07 E1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	157048	122656	22
C07.10	WP4-ULEE-C07-10	C07-10_R1	ULE	C07 E2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-10	Meat	Cured_meats	Food_contact	-	-	Packing	-	Cow	-	170554	74543	10
C07.16	WP4-ULEE-C07-16	C07-16_R1	ULE	C07 G1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2505741	144155	3
C07.17	WP4-ULEE-C07-17	C07-17_R1	ULE	C07 G2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2349671	84338	1
C07.18	WP4-ULEE-C07-18	C07-18_R1	ULE	C07 H1	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-18	Meat	Cured_meats	Final_product	-	-	Final_product	30 days	Cow	-	1002594	22910	4
C07.19	WP4-ULEE-C07-19	C07-19_R1	ULE	C07 H2	C07	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C07-19	Meat	Cured_meats	Final_product	-	-	Final_product	30 days	Cow	-	921436	32277	5
C08.01	WP4-ULEE-C08-01	C08-01_R1	ULE	C08 A1	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	145311	105619	12
C08.02	WP4-ULEE-C08-02	C08-02_R1	ULE	C08 A2	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	1090520	82739	7
C08.03	WP4-ULEE-C08-03	C08-03_R1	ULE	C08 B1	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	421755	85284	6
C08.04	WP4-ULEE-C08-04	C08-04_R1	ULE	C08 B2	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-04	Meat	Cured_meats	Food_contact	-	-	Cold	-	Cow	-	1134909	42476	8
C08.05	WP4-ULEE-C08-05	C08-05_R1	ULE	C08 C1	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	321173	79981	13
C08.06	WP4-ULEE-C08-06	C08-06_R1	ULE	C08 C2	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	513524	52461	9
C08.16	WP4-ULEE-C08-16	C08-16_R1	ULE	C08 G1	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-16	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2196601	91645	0
C08.17	WP4-ULEE-C08-17	C08-17_R1	ULE	C08 G2	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-17	Meat	Cured_meats	Before_ripening	-	-	Raw_material	-	Cow	-	2346476	99037	0
C08.18	WP4-ULEE-C08-18	C08-18_R1	ULE	C08 H1	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-18	Meat	Cured_meats	Final_product	-	-	Final_product	270 days	Cow	-	218265	28999	1
C08.19	WP4-ULEE-C08-19	C08-19_R1	ULE	C08 H2	C08	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C08-19	Meat	Cured_meats	Final_product	-	-	Final_product	270 days	Cow	-	265498	22652	0
F01.01	WP4-ULEE-F01-01	F01-01_R1	ULE	F01 A1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-01	Meat	Fermented_sausages	Non_food_contact	-	-	Processing	-	Pig	-	137365	82649	6
F01.02	WP4-ULEE-F01-02	F01-02_R1	ULE	F01 A2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-02	Meat	Fermented_sausages	Food_contact	-	-	Processing	-	Pig	-	2216466	37422	4
F01.03	WP4-ULEE-F01-03	F01-03_R1	ULE	F01 B1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-03	Meat	Fermented_sausages	Non_food_contact	-	-	Cold	-	Pig	-	228391	26019	3
F01.04	WP4-ULEE-F01-04	F01-04_R1	ULE	F01 B2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-04	Meat	Fermented_sausages	Food_contact	-	-	Cold	-	Pig	-	337539	39233	3
F01.05	WP4-ULEE-F01-05	F01-05_R1	ULE	F01 C1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-05	Meat	Fermented_sausages	Non_food_contact	-	-	Ripening	-	Pig	-	235170	69660	10
F01.06	WP4-ULEE-F01-06	F01-06_R1	ULE	F01 C2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-06	Meat	Fermented_sausages	Food_contact	-	-	Ripening	-	Pig	-	489728	12319	2
F01.09	WP4-ULEE-F01-09	F01-09_R1	ULE	F01 E1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-09	Meat	Fermented_sausages	Non_food_contact	-	-	Packing	-	Pig	-	298245	27672	3
F01.10	WP4-ULEE-F01-10	F01-10_R1	ULE	F01 E2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-10	Meat	Fermented_sausages	Food_contact	-	-	Packing	-	Pig	-	317940	44166	3
F01.16	WP4-ULEE-F01-16	F01-16_R1	ULE	F01 G1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-16	Meat	Fermented_sausages	Before_ripening	-	-	Raw_material	-	Pig	-	3886803	198031	2
F01.17	WP4-ULEE-F01-17	F01-17_R1	ULE	F01 G2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-17	Meat	Fermented_sausages	Before_ripening	-	-	Raw_material	-	Pig	-	2836458	118436	2
F01.18	WP4-ULEE-F01-18	F01-18_R1	ULE	F01 H1	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-18	Meat	Fermented_sausages	Final_product	-	-	Final_product	45 days	Pig	-	3901160	110664	2
F01.19	WP4-ULEE-F01-19	F01-19_R1	ULE	F01 H2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-19	Meat	Fermented_sausages	Final_product	-	-	Final_product	45 days	Pig	-	4013502	168960	2
F01.31A	WP4-ULEE-F01-31A	F01-31A_R1	ULE	F01 A3 1-2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-31A	Meat	Fermented_sausages	Raw_materials	-	-	Raw_material	-	Pig	-	3964849	178467	0
F01.31B	WP4-ULEE-F01-31B	F01-31B_R1	ULE	F01 A3 1-2	F01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F01-31B	Meat	Fermented_sausages	Raw_materials	-	-	Raw_material	-	Pig	-	4329472	198283	1
F02.01	WP4-ULEE-F02-01	F02-01_R1	ULE	F02 A1	F02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F02-01	Meat	Fermented_sausages	Non_food_contact	-	-	Processing	-	Pig	-	194491	120985	10
F02.02	WP4-ULEE-F02-02	F02-02_R1	ULE	F02 A2	F02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F02-02	Meat	Fermented_sausages	Food_contact	-	-	Processing	-	Pig	-	135841	58123	2
F02.03	WP4-ULEE-F02-03	F02-03_R1	ULE	F02 B1	F02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__F02-03	Meat	Fermented_sausages	Non_food_contact	-	-	Cold	-	Pig	-	158721	58291	10
